Bachelor of Science in Industrial Engineering -  Quality and Statistics,3.2439012
Bachelor of Science in Mechanical Engineering - Automotive,3.242781651
Bachelor of Science in Computer Engineering - Distributed System & Software Design and Signal & Information Processing,3.239868378
Bachelor of Science in Mathematics - Probability and Statistics,3.239389564
Bachelor of Science in Computer Engineering - Cybersecurity and Signal & Information Processing,3.238229772
Bachelor of Science in Earth and Atmospheric Sciences - General,3.234275777
Bachelor of Science in Physics - Physics of Living Systems ,3.233891651
Bachelor of Science in Industrial Engineering - Analytics and Data Science,3.233766404
Bachelor of Science in Mathematics - Business Option,3.233166018
Bachelor of Science in Nuclear and Radiological Engineering - Radiological Science and Engineering concentration,3.231937198
Bachelor of Science in Industrial Engineering - General,3.229925941
Bachelor of Science in Computer Engineering - Distributed System & Software Design and Robotics & Autonomous Systems,3.227630702
Bachelor of Science in Chemistry - Polymers and Materials Option,3.227238683
Bachelor of Science in Computer Engineering - Distributed System & Software Design and Telecommunications,3.226389492
Bachelor of Science in Mathematics - Applied Mathematics ,3.226239272
Bachelor of Science in Computer Engineering - Cybersecurity and Robotics & Autonomous Systems,3.226095734
Bachelor of Science in Computer Engineering - Cybersecurity and Telecommunications,3.22484113
Bachelor of Science in Mathematics - General,3.222147138
Bachelor of Science in Materials Science and Engineering - Structural and Functional Materials,3.222008647
Bachelor of Science in Computer Engineering - Computing Hardware & Emerging Architectures and Signal & Information Processing,3.219016538
Bachelor of Science in Applied Physics - Business Option,3.219004258
Bachelor of Science in Industrial Engineering - Economic and Financial Systems,3.217540285
Bachelor of Science in Chemistry - Biochemistry Option,3.216687149
Bachelor of Science in Mechanical Engineering - Manufacturing,3.216458259
Bachelor of Science in Electrical Engineering - Bioengineering and Sensing & Exploration,3.210016092
Bachelor of Science in Computer Engineering - Computing Hardware & Emerging Architectures and Robotics & Autonomous Systems ,3.207498444
Bachelor of Science in Applied Physics - General,3.207430678
Bachelor of Science in Mechanical Engineering - Micro- and Nanoengineering,3.206283483
Bachelor of Science in Computer Engineering - Computing Hardware & Emerging Architectures and Telecommunications,3.206026821
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Sensing & Exploration ,3.203809346
Bachelor of Science in Materials Science and Engineering - Biomaterials,3.203175507
Bachelor of Science in Nuclear and Radiological Engineering - Nuclear Engineering Concentration,3.202217472
Bachelor of Science in Chemistry - Business Option,3.193578871
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Bioengineering,3.192722778
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Sensing & Exploration,3.191185326
Bachelor of Science in Mathematics - Discrete Mathematics,3.189798751
Bachelor of Science in Electrical Engineering - Circuit Technology and Sensing & Exploration,3.18950522
Bachelor of Science in Electrical Engineeering - Electronic Devices and Sensing & Exploration,3.189476634
Bachelor of Science in Electrical Engineering - Sensing & Exploration and Telecommunications,3.189292217
Bachelor of Science in Aerospace Engineering,3.18450664
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Sensing & Exploration,3.181412272
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Bioengineering ,3.180281535
Bachelor of Science in Environmental Engineering,3.178891477
Bachelor of Science in Electrical Engineering - Circuit Technology and Bioengineering,3.17842305
Bachelor of Science in Electrical Engineering - Electronic Devices and Bioengineering,3.178394556
Bachelor of Science in Electrical Engineering - Bioengineering and Telecommunications,3.178226274
Bachelor of Science in Mathematics - Pure Mathematics,3.175922699
Bachelor of Science in Physics - Business Option,3.174438804
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Robotics & Autonomous Systems ,3.174305926
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Circuit Technology,3.17235404
Bachelor of Science in Mechanical Engineering - Nuclear and Radiological Engineering,3.172353569
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Electronic Devices ,3.172325652
Bachelor of Science in Electrical Engineering - Signal & Information Processing and Telecommunications ,3.172166476
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Bioengineering,3.170356083
"Bachelor of Science in Mechanical Engineering - Thermal, Fluid, & Energy Systems",3.170211093
Bachelor of Science in Mechanical Engineering - Automation and Robotic Systems,3.16651108
Bachelor of Science in Civil Engineering (Standard),3.166263606
Bachelor of Science in Mechanical Engineering - Design,3.166101761
Bachelor of Science in Chemistry - General ,3.164341564
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Signal & Information Processing,3.164317173
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Circuit Technology,3.160175376
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Electronic Devices ,3.160147354
Bachelor of Science in Mechanical Engineering - Mechanics of Materials,3.160012735
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Telecommunications,3.160007026
Bachelor of Science in Electrical Engineering - Electronic Devices and Circuit Technology ,3.158077944
Bachelor of Science in Electrical Engineering - Circuit Technology and Telecommunications,3.157809922
Bachelor of Science in Electrical Engineering - Electronic Devices and Telecommunications,3.157781468
Bachelor of Science in Mechanical Engineering - General,3.157730246
Bachelor of Science in Physics - General,3.156040186
Bachelor of Science in Electrical Engineering - Robotics & Autonomous Systems and Electric Energy Systems,3.152242116
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Circuit Technology,3.149911057
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Electronic Devices ,3.149882563
Bachelor of Science in Electrical Engineering - Electric Energy Systems and Telecommunications,3.149754269
Bachelor of Science in Physics - Astrophysics,3.145976982
Bachelor of Science in Chemical and Biomolecular Engineering - Biotechnology Option,3.071423206
Bachelor of Science in Chemical and Biomolecular Engineering - Standard Option,3.071423206
